route-idx,coordinates
21,"[(149, 60), (149, 61), (149, 62), (149, 63), (149, 64), (148, 64), (148, 65), (147, 65), (147, 66), (146, 66), (146, 67), (146, 68), (145, 68), (144, 68), (144, 69), (143, 69), (143, 70), (142, 70), (142, 71), (141, 71), (141, 72), (140, 72), (140, 73), (140, 74), (139, 74), (139, 75), (139, 76), (138, 76), (137, 76), (136, 76), (136, 75), (136, 74), (135, 74), (134, 74), (134, 75), (134, 76), (133, 76), (133, 77), (132, 77), (132, 78), (132, 79), (131, 79), (131, 80), (131, 81), (131, 82), (131, 83), (131, 84), (131, 85), (130, 85), (130, 86), (130, 87), (130, 88), (130, 89), (129, 89), (129, 90), (128, 90), (128, 91), (128, 92), (127, 92), (126, 92), (126, 93), (126, 94), (126, 95), (125, 95), (125, 96), (125, 97), (125, 98), (125, 99), (125, 100), (125, 101), (125, 102), (125, 103), (125, 104), (125, 105), (125, 106), (124, 106), (124, 107), (124, 108), (124, 109), (124, 110), (124, 111), (124, 111)]"
22,"[(149, 60), (149, 59), (149, 58), (149, 57), (148, 57), (148, 56), (148, 55), (148, 54), (148, 53), (148, 52), (148, 51), (148, 50), (148, 49), (148, 48), (148, 47), (148, 46), (148, 45), (148, 45)]"
23,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (133, 133), (132, 133), (132, 132), (131, 132), (131, 131), (131, 130), (130, 130), (130, 129), (130, 128), (130, 127), (129, 127), (129, 126), (128, 126), (128, 125), (128, 124), (129, 124), (129, 123), (129, 122), (129, 121), (129, 120), (129, 119), (128, 119), (128, 118), (128, 117), (127, 117), (127, 116), (126, 116), (126, 115), (125, 115), (125, 114), (125, 113), (124, 113), (124, 112), (124, 111), (124, 111)]"
24,"[(150, 177), (150, 177)]"
25,"[(148, 45), (148, 45)]"
26,"[(183, 48), (182, 48), (181, 48), (180, 48), (179, 48), (178, 48), (177, 48), (176, 48), (176, 49), (175, 49), (174, 49), (174, 50), (173, 50), (173, 51), (173, 52), (172, 52), (172, 53), (171, 53), (171, 54), (170, 54), (170, 55), (169, 55), (169, 56), (168, 56), (168, 57), (168, 58), (168, 59), (167, 59), (167, 60), (166, 60), (166, 61), (165, 61), (164, 61), (164, 62), (163, 62), (162, 62), (161, 62), (160, 62), (159, 62), (158, 62), (157, 62), (156, 62), (156, 63), (155, 63), (154, 63), (154, 62), (153, 62), (152, 62), (151, 62), (150, 62), (149, 62), (149, 61), (149, 60), (149, 60)]"
27,"[(183, 48), (184, 48), (184, 49), (184, 50), (184, 51), (185, 51), (185, 52), (185, 53), (186, 53), (186, 54), (186, 55), (186, 55)]"
28,"[(140, 184), (140, 183), (140, 182), (140, 181), (140, 180), (140, 179), (140, 178), (140, 177), (140, 176), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
29,"[(164, 114), (165, 114), (166, 114), (166, 113), (167, 113), (167, 112), (167, 111), (167, 110), (167, 109), (167, 108), (166, 108), (166, 107), (166, 106), (165, 106), (164, 106), (164, 105), (163, 105), (163, 104), (163, 103), (162, 103), (162, 102), (161, 102), (160, 102), (159, 102), (158, 102), (158, 101), (158, 100), (158, 99), (158, 98), (158, 97), (158, 96), (159, 96), (159, 95), (160, 95), (160, 94), (161, 94), (161, 93), (161, 92), (161, 91), (160, 91), (160, 90), (160, 89), (160, 88), (161, 88), (161, 87), (162, 87), (163, 87), (164, 87), (165, 87), (165, 88), (166, 88), (167, 88), (168, 88), (169, 88), (170, 88), (171, 88), (172, 88), (172, 87), (173, 87), (174, 87), (174, 86), (174, 85), (173, 85), (173, 84), (173, 83), (172, 83), (172, 82), (172, 81), (172, 80), (172, 79), (172, 78), (172, 77), (172, 76), (172, 75), (173, 75), (173, 74), (173, 73), (174, 73), (174, 72), (175, 72), (175, 71), (176, 71), (176, 70), (177, 70), (177, 69), (177, 68), (177, 67), (178, 67), (178, 66), (179, 66), (180, 66), (181, 66), (181, 65), (182, 65), (182, 64), (183, 64), (183, 63), (184, 63), (184, 62), (184, 61), (184, 60), (184, 59), (184, 58), (185, 58), (185, 57), (185, 56), (185, 55), (186, 55), (186, 55)]"
30,"[(181, 145), (181, 144), (181, 143), (180, 143), (180, 142), (180, 141), (180, 140), (179, 140), (179, 139), (179, 138), (178, 138), (178, 137), (178, 136), (178, 135), (179, 135), (179, 134), (179, 133), (178, 133), (178, 132), (178, 131), (178, 130), (178, 129), (178, 128), (178, 127), (177, 127), (177, 126), (177, 125), (176, 125), (176, 124), (175, 124), (175, 123), (174, 123), (173, 123), (173, 122), (172, 122), (171, 122), (170, 122), (169, 122), (169, 123), (168, 123), (167, 123), (166, 123), (166, 124), (165, 124), (165, 125), (164, 125), (163, 125), (163, 126), (162, 126), (161, 126), (161, 127), (160, 127), (159, 127), (159, 128), (158, 128), (157, 128), (157, 129), (156, 129), (155, 129), (154, 129), (154, 130), (153, 130), (152, 130), (152, 131), (151, 131), (151, 132), (150, 132), (149, 132), (148, 132), (148, 133), (147, 133), (146, 133), (146, 134), (145, 134), (144, 134), (144, 135), (143, 135), (142, 135), (141, 135), (140, 135), (140, 136), (140, 137), (139, 137), (138, 137), (137, 137), (136, 137), (136, 137)]"
31,"[(164, 114), (163, 114), (163, 115), (162, 115), (161, 115), (160, 115), (159, 115), (158, 115), (158, 116), (157, 116), (156, 116), (156, 117), (155, 117), (154, 117), (153, 117), (152, 117), (151, 117), (151, 118), (151, 118)]"
32,"[(151, 118), (151, 118)]"
33,"[(164, 114), (165, 114), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 124), (142, 124), (142, 125), (142, 126), (141, 126), (141, 127), (141, 128), (140, 128), (140, 129), (140, 130), (139, 130), (139, 131), (138, 131), (138, 132), (137, 132), (136, 132), (136, 133), (135, 133), (135, 134), (134, 134), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (134, 139), (134, 140), (133, 140), (133, 141), (133, 142), (132, 142), (132, 143), (132, 144), (132, 145), (132, 146), (131, 146), (131, 146)]"
34,"[(131, 146), (130, 146), (129, 146), (129, 147), (128, 147), (127, 147), (126, 147), (125, 147), (124, 147), (123, 147), (123, 147)]"
35,"[(62, 13), (62, 14), (62, 15), (62, 16), (62, 17), (62, 18), (63, 18), (63, 19), (63, 20), (63, 21), (63, 22), (63, 23), (63, 24), (63, 25), (63, 26), (63, 27), (63, 28), (63, 29), (64, 29), (64, 30), (64, 31), (64, 32), (64, 33), (65, 33), (66, 33), (66, 34), (66, 35), (67, 35), (67, 36), (67, 37), (68, 37), (68, 38), (68, 39), (69, 39), (69, 40), (69, 41), (70, 41), (70, 42), (70, 43), (71, 43), (71, 44), (71, 45), (72, 45), (72, 46), (73, 46), (73, 47), (74, 47), (74, 48), (74, 49), (75, 49), (75, 50), (76, 50), (76, 51), (76, 52), (77, 52), (77, 53), (77, 54), (78, 54), (78, 55), (78, 56), (79, 56), (79, 57), (80, 57), (80, 58), (81, 58), (81, 59), (81, 60), (81, 61), (82, 61), (82, 62), (83, 62), (83, 63), (84, 63), (84, 64), (85, 64), (85, 65), (85, 66), (86, 66), (86, 67), (86, 68), (86, 69), (86, 70), (86, 71), (85, 71), (85, 72), (85, 73), (84, 73), (84, 74), (83, 74), (83, 75), (83, 76), (83, 77), (83, 78), (82, 78), (82, 79), (82, 80), (82, 81), (81, 81), (81, 82), (80, 82), (80, 83), (80, 84), (79, 84), (79, 85), (78, 85), (77, 85), (77, 86), (76, 86), (76, 87), (75, 87), (75, 88), (75, 89), (75, 90), (74, 90), (74, 91), (73, 91), (73, 92), (73, 93), (72, 93), (72, 94), (71, 94), (71, 95), (70, 95), (69, 95), (69, 96), (69, 97), (69, 98), (69, 98)]"
36,"[(123, 147), (123, 147)]"
37,"[(131, 146), (132, 146), (132, 147), (132, 148), (133, 148), (133, 149), (133, 150), (133, 151), (133, 152), (133, 153), (133, 154), (133, 155), (133, 156), (134, 156), (135, 156), (135, 157), (135, 158), (135, 159), (135, 160), (134, 160), (134, 161), (134, 162), (135, 162), (135, 163), (135, 164), (136, 164), (136, 165), (136, 166), (137, 166), (138, 166), (138, 167), (139, 167), (139, 168), (139, 169), (140, 169), (140, 170), (140, 171), (140, 172), (140, 173), (140, 174), (140, 175), (140, 176), (140, 177), (140, 178), (140, 179), (140, 180), (140, 181), (139, 181), (138, 181), (138, 181)]"
38,"[(183, 48), (182, 48), (181, 48), (180, 48), (179, 48), (178, 48), (177, 48), (176, 48), (176, 49), (175, 49), (174, 49), (174, 50), (173, 50), (173, 51), (173, 52), (172, 52), (172, 53), (171, 53), (171, 54), (170, 54), (170, 55), (169, 55), (169, 56), (168, 56), (168, 57), (168, 58), (168, 59), (167, 59), (167, 60), (166, 60), (166, 61), (165, 61), (164, 61), (164, 62), (163, 62), (162, 62), (161, 62), (160, 62), (159, 62), (158, 62), (157, 62), (156, 62), (156, 63), (155, 63), (154, 63), (154, 62), (153, 62), (152, 62), (151, 62), (150, 62), (149, 62), (149, 63), (149, 64), (148, 64), (148, 65), (147, 65), (147, 66), (146, 66), (146, 67), (146, 68), (145, 68), (144, 68), (144, 69), (143, 69), (143, 70), (142, 70), (142, 71), (141, 71), (141, 72), (140, 72), (140, 73), (140, 74), (139, 74), (139, 75), (139, 76), (138, 76), (137, 76), (136, 76), (136, 75), (136, 74), (135, 74), (134, 74), (134, 75), (134, 76), (133, 76), (133, 77), (132, 77), (132, 78), (132, 79), (131, 79), (131, 80), (131, 81), (131, 82), (131, 83), (131, 84), (131, 85), (130, 85), (130, 86), (130, 87), (130, 88), (130, 89), (129, 89), (129, 90), (128, 90), (128, 91), (128, 92), (127, 92), (126, 92), (126, 93), (126, 94), (126, 95), (125, 95), (125, 96), (125, 97), (125, 98), (125, 99), (125, 100), (125, 101), (125, 102), (125, 103), (125, 104), (125, 105), (125, 106), (124, 106), (124, 107), (124, 108), (124, 109), (124, 110), (124, 111), (124, 111)]"
39,"[(62, 13), (62, 14), (62, 15), (62, 16), (62, 17), (62, 18), (63, 18), (63, 19), (63, 20), (63, 21), (63, 22), (63, 23), (63, 24), (63, 25), (64, 25), (64, 25)]"
40,"[(20, 121), (21, 121), (22, 121), (22, 120), (23, 120), (23, 119), (23, 118), (24, 118), (25, 118), (25, 117), (26, 117), (27, 117), (28, 117), (29, 117), (30, 117), (30, 118), (30, 119), (31, 119), (31, 120), (31, 121), (32, 121), (32, 122), (32, 123), (32, 124), (33, 124), (33, 125), (33, 126), (34, 126), (34, 127), (34, 128), (34, 129), (35, 129), (35, 130), (35, 131), (35, 132), (36, 132), (36, 133), (37, 133), (37, 134), (38, 134), (38, 135), (38, 136), (39, 136), (39, 137), (39, 138), (40, 138), (40, 139), (40, 140), (41, 140), (41, 141), (41, 142), (42, 142), (42, 143), (43, 143), (43, 144), (44, 144), (45, 144), (45, 145), (46, 145), (46, 146), (47, 146), (48, 146), (48, 147), (48, 148), (49, 148), (50, 148), (50, 149), (50, 150), (50, 151), (51, 151), (51, 152), (52, 152), (52, 153), (53, 153), (53, 154), (54, 154), (55, 154), (56, 154), (57, 154), (58, 154), (58, 155), (59, 155), (60, 155), (60, 156), (61, 156), (62, 156), (63, 156), (64, 156), (64, 155), (64, 154), (64, 153), (65, 153), (65, 152), (65, 151), (65, 150), (65, 149), (65, 148), (65, 147), (65, 146), (65, 145), (65, 144), (65, 144)]"
41,"[(181, 145), (181, 145)]"
42,"[(124, 111), (124, 112), (124, 113), (125, 113), (125, 114), (125, 115), (126, 115), (126, 116), (127, 116), (127, 117), (128, 117), (128, 118), (128, 119), (129, 119), (129, 120), (129, 121), (129, 122), (129, 123), (129, 124), (128, 124), (128, 125), (128, 126), (129, 126), (129, 127), (130, 127), (130, 128), (130, 129), (130, 130), (131, 130), (131, 131), (131, 132), (132, 132), (132, 133), (133, 133), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
43,"[(89, 16), (89, 16)]"
44,"[(183, 48), (183, 48)]"
45,"[(65, 144), (65, 145), (65, 146), (65, 147), (65, 148), (65, 149), (65, 150), (65, 151), (65, 152), (65, 153), (64, 153), (64, 154), (64, 155), (64, 156), (63, 156), (62, 156), (61, 156), (60, 156), (60, 155), (59, 155), (58, 155), (58, 154), (57, 154), (56, 154), (55, 154), (54, 154), (53, 154), (53, 153), (52, 153), (52, 152), (51, 152), (51, 151), (50, 151), (50, 150), (50, 149), (50, 148), (49, 148), (48, 148), (48, 147), (48, 146), (47, 146), (46, 146), (46, 145), (45, 145), (45, 144), (44, 144), (43, 144), (43, 143), (42, 143), (42, 142), (41, 142), (41, 141), (41, 140), (40, 140), (40, 139), (40, 138), (39, 138), (39, 137), (39, 136), (38, 136), (38, 135), (38, 134), (37, 134), (37, 133), (36, 133), (36, 132), (35, 132), (35, 131), (35, 130), (35, 129), (34, 129), (34, 128), (34, 127), (34, 126), (33, 126), (33, 125), (33, 124), (32, 124), (32, 123), (32, 122), (32, 121), (31, 121), (31, 120), (31, 119), (30, 119), (30, 118), (30, 117), (29, 117), (28, 117), (27, 117), (26, 117), (25, 117), (25, 118), (24, 118), (23, 118), (23, 117), (23, 116), (23, 115), (23, 114), (23, 113), (23, 112), (23, 111), (23, 110), (23, 109), (23, 108), (24, 108), (24, 107), (24, 106), (23, 106), (22, 106), (22, 105), (22, 104), (21, 104), (21, 103), (20, 103), (20, 102), (20, 101), (19, 101), (19, 100), (19, 99), (18, 99), (18, 98), (18, 97), (18, 96), (18, 95), (18, 95)]"
46,"[(131, 146), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (133, 133), (132, 133), (132, 132), (131, 132), (131, 131), (131, 130), (130, 130), (130, 129), (130, 128), (130, 127), (129, 127), (129, 126), (128, 126), (128, 125), (128, 124), (129, 124), (129, 123), (129, 122), (129, 121), (129, 120), (129, 119), (128, 119), (128, 118), (128, 117), (127, 117), (127, 116), (126, 116), (126, 115), (125, 115), (125, 114), (125, 113), (124, 113), (124, 112), (124, 111), (124, 111)]"
47,"[(18, 95), (18, 95)]"
48,"[(164, 114), (165, 114), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 124), (142, 124), (142, 125), (142, 126), (141, 126), (141, 127), (141, 128), (140, 128), (140, 129), (140, 130), (139, 130), (139, 131), (138, 131), (138, 132), (137, 132), (136, 132), (136, 133), (135, 133), (135, 134), (134, 134), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (134, 139), (134, 140), (133, 140), (133, 141), (133, 142), (132, 142), (132, 143), (132, 144), (132, 145), (132, 146), (132, 147), (132, 148), (133, 148), (133, 149), (133, 150), (133, 151), (133, 152), (133, 153), (133, 154), (133, 155), (133, 156), (134, 156), (135, 156), (135, 157), (135, 158), (135, 159), (135, 160), (134, 160), (134, 161), (134, 162), (135, 162), (135, 163), (135, 164), (136, 164), (136, 165), (136, 166), (137, 166), (138, 166), (138, 167), (139, 167), (139, 168), (139, 169), (140, 169), (140, 170), (140, 171), (140, 172), (140, 173), (140, 174), (140, 175), (140, 176), (140, 177), (140, 178), (140, 179), (140, 180), (140, 181), (139, 181), (138, 181), (138, 181)]"
49,"[(80, 35), (80, 35)]"
50,"[(116, 151), (117, 151), (118, 151), (118, 150), (119, 150), (119, 149), (120, 149), (120, 148), (121, 148), (122, 148), (123, 148), (123, 147), (123, 147)]"
51,"[(52, 41), (52, 41)]"
52,"[(116, 151), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (107, 125), (106, 125), (105, 125), (104, 125), (103, 125), (103, 126), (102, 126), (101, 126), (100, 126), (99, 126), (98, 126), (97, 126), (97, 125), (96, 125), (96, 124), (95, 124), (95, 123), (95, 122), (94, 122), (93, 122), (93, 123), (92, 123), (92, 124), (91, 124), (90, 124), (90, 125), (90, 126), (89, 126), (88, 126), (87, 126), (87, 125), (86, 125), (86, 124), (85, 124), (85, 123), (84, 123), (84, 122), (83, 122), (83, 121), (82, 121), (82, 120), (82, 119), (81, 119), (81, 118), (80, 118), (80, 117), (79, 117), (79, 116), (78, 116), (77, 116), (77, 117), (77, 118), (76, 118), (76, 119), (75, 119), (75, 120), (75, 121), (74, 121), (74, 122), (73, 122), (73, 123), (72, 123), (71, 123), (71, 124), (71, 125), (70, 125), (70, 126), (70, 127), (70, 128), (70, 129), (70, 130), (70, 131), (71, 131), (72, 131), (72, 132), (73, 132), (73, 133), (74, 133), (74, 134), (74, 135), (75, 135), (75, 136), (76, 136), (76, 137), (77, 137), (77, 138), (78, 138), (78, 139), (79, 139), (79, 140), (80, 140), (80, 141), (81, 141), (81, 142), (82, 142), (82, 143), (82, 144), (83, 144), (83, 145), (84, 145), (84, 146), (85, 146), (85, 147), (86, 147), (87, 147), (87, 148), (87, 149), (88, 149), (88, 150), (88, 151), (89, 151), (89, 152), (90, 152), (90, 153), (91, 153), (91, 154), (92, 154), (92, 155), (92, 156), (93, 156), (93, 157), (93, 158), (94, 158), (94, 159), (94, 160), (95, 160), (96, 160), (97, 160), (97, 160)]"
53,"[(97, 160), (97, 159), (97, 158), (98, 158), (98, 157), (98, 156), (99, 156), (99, 155), (99, 154), (100, 154), (100, 153), (100, 152), (100, 152)]"
54,"[(100, 152), (100, 152)]"
55,"[(20, 121), (20, 121)]"
56,"[(183, 48), (182, 48), (181, 48), (180, 48), (179, 48), (178, 48), (177, 48), (176, 48), (176, 49), (175, 49), (174, 49), (174, 50), (173, 50), (173, 51), (173, 52), (172, 52), (172, 53), (171, 53), (171, 54), (170, 54), (170, 55), (169, 55), (169, 56), (168, 56), (168, 57), (168, 58), (168, 59), (167, 59), (167, 60), (166, 60), (166, 61), (165, 61), (164, 61), (164, 62), (163, 62), (162, 62), (161, 62), (160, 62), (159, 62), (158, 62), (157, 62), (156, 62), (156, 63), (155, 63), (154, 63), (154, 62), (153, 62), (152, 62), (151, 62), (150, 62), (149, 62), (149, 63), (149, 64), (148, 64), (148, 65), (147, 65), (147, 66), (146, 66), (146, 67), (146, 68), (145, 68), (144, 68), (144, 69), (143, 69), (143, 70), (142, 70), (142, 71), (141, 71), (141, 72), (140, 72), (140, 73), (140, 74), (139, 74), (139, 75), (139, 76), (138, 76), (137, 76), (136, 76), (136, 75), (136, 74), (135, 74), (134, 74), (134, 75), (134, 76), (133, 76), (133, 77), (132, 77), (132, 78), (132, 79), (131, 79), (131, 80), (131, 81), (131, 82), (131, 83), (131, 84), (131, 85), (130, 85), (130, 86), (130, 87), (130, 88), (130, 89), (129, 89), (129, 90), (128, 90), (128, 91), (128, 92), (127, 92), (126, 92), (126, 91), (126, 90), (125, 90), (125, 89), (125, 88), (124, 88), (123, 88), (122, 88), (121, 88), (120, 88), (120, 89), (119, 89), (118, 89), (117, 89), (117, 88), (116, 88), (116, 87), (116, 86), (115, 86), (115, 85), (115, 84), (114, 84), (114, 83), (113, 83), (113, 82), (113, 81), (112, 81), (112, 80), (112, 79), (112, 78), (112, 77), (112, 76), (112, 75), (112, 74), (112, 73), (111, 73), (111, 72), (110, 72), (110, 71), (110, 70), (109, 70), (109, 69), (109, 68), (109, 67), (110, 67), (110, 66), (110, 65), (111, 65), (111, 64), (111, 63), (111, 62), (111, 61), (111, 60), (111, 59), (111, 58), (111, 57), (111, 56), (111, 55), (111, 54), (111, 53), (111, 52), (110, 52), (110, 51), (110, 50), (109, 50), (109, 49), (109, 48), (108, 48), (108, 47), (108, 46), (108, 45), (108, 44), (107, 44), (107, 43), (107, 42), (106, 42), (106, 41), (106, 40), (106, 39), (106, 38), (106, 37), (106, 36), (106, 35), (106, 34), (106, 33), (106, 32), (105, 32), (104, 32), (104, 32)]"
57,"[(48, 89), (48, 90), (49, 90), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
58,"[(97, 160), (96, 160), (95, 160), (94, 160), (94, 159), (94, 158), (93, 158), (93, 157), (93, 156), (92, 156), (92, 155), (92, 154), (91, 154), (91, 153), (90, 153), (90, 152), (89, 152), (89, 151), (88, 151), (88, 150), (88, 149), (87, 149), (87, 148), (87, 147), (86, 147), (85, 147), (85, 146), (84, 146), (84, 145), (83, 145), (83, 144), (82, 144), (82, 143), (82, 142), (81, 142), (81, 141), (80, 141), (80, 140), (79, 140), (79, 139), (78, 139), (78, 138), (77, 138), (77, 137), (76, 137), (76, 136), (75, 136), (75, 135), (74, 135), (74, 134), (74, 133), (73, 133), (73, 132), (72, 132), (72, 131), (71, 131), (71, 130), (71, 129), (70, 129), (70, 128), (70, 127), (70, 126), (70, 125), (71, 125), (71, 124), (71, 123), (72, 123), (73, 123), (73, 122), (74, 122), (74, 121), (75, 121), (75, 120), (75, 119), (76, 119), (76, 118), (77, 118), (77, 117), (77, 116), (78, 116), (78, 115), (78, 114), (77, 114), (76, 114), (76, 113), (76, 112), (75, 112), (75, 111), (74, 111), (74, 110), (73, 110), (73, 109), (73, 108), (72, 108), (72, 107), (72, 106), (71, 106), (71, 105), (70, 105), (70, 104), (69, 104), (69, 103), (69, 102), (69, 101), (69, 100), (69, 99), (69, 98), (69, 98)]"
59,"[(62, 13), (62, 14), (62, 15), (62, 16), (62, 17), (62, 18), (63, 18), (63, 19), (63, 20), (63, 21), (63, 22), (63, 23), (63, 24), (63, 25), (63, 26), (63, 27), (63, 28), (63, 29), (64, 29), (64, 30), (64, 31), (64, 32), (64, 33), (65, 33), (66, 33), (66, 34), (66, 35), (67, 35), (67, 36), (67, 37), (68, 37), (68, 38), (68, 39), (69, 39), (69, 40), (69, 41), (70, 41), (70, 42), (70, 43), (71, 43), (71, 44), (71, 45), (72, 45), (72, 46), (73, 46), (73, 47), (74, 47), (74, 48), (74, 49), (75, 49), (75, 50), (76, 50), (76, 51), (76, 52), (77, 52), (77, 53), (77, 54), (78, 54), (78, 55), (78, 56), (79, 56), (79, 57), (80, 57), (80, 58), (81, 58), (81, 59), (81, 60), (81, 61), (82, 61), (82, 62), (83, 62), (83, 63), (84, 63), (84, 64), (85, 64), (85, 65), (85, 66), (86, 66), (86, 67), (86, 68), (86, 69), (86, 70), (86, 71), (85, 71), (85, 72), (85, 73), (86, 73), (86, 74), (86, 75), (87, 75), (87, 76), (88, 76), (88, 77), (88, 78), (89, 78), (89, 79), (90, 79), (90, 80), (91, 80), (91, 81), (91, 82), (91, 83), (91, 84), (91, 85), (90, 85), (90, 86), (90, 87), (90, 88), (89, 88), (89, 89), (89, 90), (90, 90), (91, 90), (92, 90), (92, 91), (92, 92), (93, 92), (93, 93), (93, 94), (93, 95), (93, 96), (93, 97), (93, 98), (93, 99), (93, 100), (94, 100), (94, 101), (94, 102), (94, 103), (95, 103), (95, 104), (95, 105), (96, 105), (96, 106), (96, 107), (97, 107), (97, 108), (97, 109), (98, 109), (98, 110), (99, 110), (99, 111), (99, 112), (100, 112), (100, 113), (101, 113), (101, 114), (102, 114), (102, 115), (103, 115), (103, 116), (103, 117), (104, 117), (104, 118), (105, 118), (105, 119), (106, 119), (106, 120), (106, 121), (107, 121), (107, 122), (107, 123), (108, 123), (108, 124), (108, 125), (109, 125), (109, 126), (110, 126), (110, 127), (111, 127), (111, 128), (112, 128), (112, 129), (112, 130), (113, 130), (113, 131), (113, 132), (114, 132), (115, 132), (115, 133), (115, 134), (115, 135), (114, 135), (114, 136), (114, 137), (114, 138), (114, 139), (114, 140), (115, 140), (115, 141), (115, 142), (115, 143), (115, 144), (114, 144), (114, 145), (114, 146), (114, 147), (114, 148), (115, 148), (115, 149), (115, 150), (115, 151), (115, 152), (115, 153), (115, 154), (115, 155), (115, 156), (115, 157), (115, 158), (115, 159), (115, 160), (115, 161), (115, 162), (115, 163), (115, 164), (115, 165), (115, 166), (115, 167), (115, 167)]"
